"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"MAMSTR"	219	357	450	504
"MAN1A1"	1285	1676	461	1022
"MAN1B1"	1633	1676	3073	1803
"MAN1C1"	444	322	1259	561
"MAN2A1"	218	71	0	190
"MAN2B1"	184	1025	307	737
"MAN2B2"	44	60	10	0
"MAN2C1"	1899	2675	4770	2616
"MANBA"	550	436	9	213
"MANBAL"	4987	4242	4744	4413
"MANEA"	409	1027	325	1475
"MANEAL"	62	197	213	118
"MANF"	654	734	1070	1490
"MANSC1"	1355	1233	973	1648
"MANSC4"	30	0	19	199
"MAP1A"	0	0	73	61
"MAP1B"	1094	1169	954	890
"MAP1LC3B"	984	1027	563	1151
"MAP1LC3C"	336	112	562	178
"MAP1S"	6706	2791	4599	5650
"MAP2"	0	71	13	0
"MAP2K1"	411	479	689	1026
"MAP2K3"	117	169	193	274
"MAP2K4"	6292	5131	1217	4733
"MAP2K5"	823	581	1125	773
"MAP2K6"	176	143	113	0
"MAP2K7"	3	0	0	0
"MAP3K1"	38	3	84	364
"MAP3K10"	2038	1986	1615	1718
"MAP3K13"	230	248	568	622
"MAP3K14"	114	39	324	427
"MAP3K19"	3741	4334	2658	5304
"MAP3K2"	59	0	168	138
"MAP3K3"	2495	1554	2521	2583
"MAP3K4"	5059	3726	2807	4066
"MAP3K5"	1965	1782	4125	3208
"MAP3K6"	3698	2924	4328	3681
"MAP3K8"	747	572	905	1464
"MAP4K2"	77	65	108	338
"MAP4K5"	0	0	6	0
"MAP6"	58	0	26	0
"MAP6D1"	1654	1039	2178	1329
"MAP7"	155	782	852	466
"MAP7D1"	3724	5184	6036	5555
"MAP7D3"	18	0	0	0
"MAPK10"	480	305	227	541
"MAPK12"	3215	3573	8102	3284
"MAPK13"	1	0	0	0
"MAPK14"	3786	4570	3630	4172
"MAPK15"	202	175	385	175
"MAPK3"	176	134	116	238
"MAPK6"	6379	6256	2572	6061
"MAPK8IP2"	9773	10815	9570	10403
"MAPK8IP3"	263	300	469	708
"MAPK9"	5152	3855	4724	4654
"MAPKAPK2"	122	0	11	0
"MAPKAPK3"	1042	2197	3939	1848
"MAPKBP1"	9760	10638	17105	13202
"MAPRE1"	28	0	11	0
"MAPRE2"	5408	3506	5182	4884
"MAPRE3"	1656	1820	1662	2002
"MARC1"	2259	2668	2981	2129
"MARC2"	219	725	216	509
"MARCH10"	3430	1013	663	1341
"MARCH11"	2105	1554	2878	2088
"MARCH2"	138	146	83	28
"MARCH5"	0	0	0	53
"MARCH7"	22	311	653	256
"MARCH8"	669	421	557	551
"MARCH9"	0	209	28	79
"MARCKS"	88	0	35	92
"MARCO"	6453	5215	5942	5799
"MARK1"	238	161	354	123
"MARK3"	2262	1922	2186	2613
"MARK4"	1369	894	2160	1003
"MARVELD1"	875	616	666	960
"MARVELD2"	1861	1182	1475	1278
"MAS1"	4583	4335	4534	5034
"MAS1L"	761	758	681	718
"MASP1"	2696	2160	4201	3565
"MASP2"	561	248	176	417
"MAST1"	0	0	0	51
"MAST2"	181	1	146	92
"MAST3"	917	1109	1707	1328
"MAST4"	0	84	0	0
"MAT1A"	670	562	653	1001
"MATN1"	0	0	102	0
"MATN2"	181	640	582	292
"MATN3"	1018	672	1102	824
"MATN4"	904	598	430	873
"MATR3"	8961	10630	5398	12728
"MAVS"	2987	913	3196	3188
"MAX"	631	882	308	274
"MB"	0	0	23	0
"MB21D1"	5207	6271	6758	6999
"MB21D2"	1892	1917	2769	2852
"MBD1"	18403	13263	21601	17030
"MBD2"	5294	7756	3326	6062
"MBD3L1"	2642	2766	2936	3688
"MBD3L2"	467	294	355	531
"MBD3L3"	1942	1732	3521	2356
"MBD3L5"	100	0	0	0
"MBD4"	28902	35675	18117	34610
"MBD5"	113	78	339	298
"MBL2"	3326	2883	4770	4262
"MBLAC1"	928	643	1325	547
"MBNL1"	260	2581	1326	1958
"MBNL3"	595	616	686	573
"MBOAT1"	0	83	23	0
"MBOAT4"	2227	1523	1523	1792
"MBOAT7"	134	1676	1400	681
"MBP"	0	59	285	2
"MBTPS1"	41	0	0	0
"MC1R"	1770	686	1748	1667
"MC2R"	102	184	115	102
"MC3R"	7897	3641	7200	6338
"MC4R"	2575	2410	1821	2642
"MC5R"	108	190	178	170
"MCAM"	4025	5574	8821	5812
"MCAT"	251	56	274	292
"MCC"	1576	2432	2299	2541
"MCCC1"	3294	4048	1870	4315
"MCCC2"	1072	1312	2536	1104
"MCCD1"	146	983	205	625
"MCEE"	0	0	165	0
"MCEMP1"	1400	1141	1634	2163
"MCF2L"	614	1131	1513	1030
"MCF2L2"	236	535	254	731
"MCFD2"	0	0	65	0
"MCHR1"	74	3550	1477	1979
"MCHR2"	25	0	91	87
"MCIDAS"	976	1593	1526	937
"MCL1"	74	0	27	0
"MCM10"	1651	1499	485	1058
"MCM2"	0	0	1	0
"MCM5"	1147	1149	1935	1327
"MCM8"	218	157	76	161
"MCM9"	1909	3716	1755	4295
"MCMBP"	49	0	17	50
"MCOLN1"	0	63	12	0
"MCOLN2"	1362	1655	1590	1752
"MCOLN3"	0	0	11	0
"MCPH1"	91	0	22	153
"MCTP1"	7449	7227	10139	7822
"MCTS1"	559	0	57	94
"MCU"	142	63	125	105
"MDFI"	2832	2551	6643	3474
"MDFIC"	309	837	1021	998
"MDGA1"	282	296	672	171
"MDGA2"	530	162	241	348
"MDH1B"	1232	1709	1192	1802
"MDH2"	146	501	440	417
"MDK"	411	653	274	301
"MDP1"	544	1008	1435	1235
"ME1"	272	309	509	420
"ME3"	182	4096	966	1208
"MEA1"	722	673	479	977
"MECOM"	110	198	105	53
"MED1"	20351	19053	19533	28230
"MED10"	5739	4267	10215	8077
"MED12L"	3103	699	3116	1172
"MED14OS"	5218	6795	14789	5580
"MED15"	314	154	215	434
"MED16"	53	0	0	0
"MED18"	90	51	222	161
"MED21"	135	53	461	307
"MED22"	2378	1978	1331	2588
"MED23"	7289	7472	9656	8776
"MED24"	816	1885	1141	932
"MED26"	48	0	0	182
"MED28"	0	0	49	47
"MED9"	640	401	845	687
"MEF2A"	262	383	244	167
"MEF2B"	1600	431	1541	787
"MEF2BNB"	212	57	174	50
"MEF2C"	11160	12547	19909	12359
"MEFV"	0	186	352	0
"MEGF10"	0	0	26	0
"MEGF11"	2238	1466	1515	1638
"MEGF6"	229	582	817	451
"MEGF8"	311	297	542	415
"MEGF9"	763	888	423	770
"MEI1"	636	556	809	516
"MEI4"	3467	3682	1079	3188
"MEIG1"	281	733	723	1012
"MEIKIN"	1071	1276	393	1503
"MEIOB"	2391	4579	2558	4304
"MEIS1"	8916	9352	17730	12262
"MEIS2"	76	0	183	82
"MEIS3"	8371	3139	8127	6939
"MEOX1"	3856	2598	5523	4200
"MEP1A"	2009	2123	1064	1457
"MEPE"	3784	3463	4192	4775
"MERTK"	104	194	206	144
"MESDC1"	278	77	212	183
"MESDC2"	2031	1697	4158	1757
"MESP1"	1207	1016	1446	1571
"MESP2"	7841	4719	10404	7064
"MEST"	6638	3939	2242	5125
"MET"	72	274	163	54
"METAP1D"	4664	4175	5975	5004
"METRN"	519	624	698	561
"METRNL"	2381	2159	1931	2588
"METTL1"	1087	1811	1417	1301
"METTL12"	407	1067	805	426
"METTL13"	776	1097	460	1545
"METTL15"	858	358	1115	743
"METTL18"	401	465	608	437
"METTL20"	1573	715	2498	2168
"METTL21A"	568	1718	1249	991
"METTL21B"	0	56	0	143
"METTL21C"	45	1500	362	416
"METTL22"	505	7595	8797	4353
"METTL25"	1545	1166	1592	1867
"METTL2A"	1417	3722	2870	3753
"METTL4"	676	967	399	771
"METTL5"	10989	9326	11247	13057
"METTL6"	0	4	17	16
"METTL7A"	532	917	674	827
"MEX3A"	483	97	448	286
"MEX3C"	505	161	180	282
"MEX3D"	4542	6593	10434	7507
"MFAP2"	102	292	244	0
"MFAP3"	1253	845	956	1338
"MFAP3L"	100	0	57	119
"MFAP4"	1566	1402	2288	3457
"MFAP5"	0	79	0	272
"MFF"	330	1016	545	527
"MFHAS1"	513	514	1218	331
"MFI2"	8280	6161	12111	8962
"MFN1"	2701	2564	3561	4461
"MFN2"	2077	7093	4496	4677
"MFNG"	233	436	159	102
"MFRP"	1617	2434	3238	2170
"MFSD10"	165	868	706	881
"MFSD11"	81	81	136	277
"MFSD2B"	2624	1036	2075	1788
"MFSD4"	917	953	608	783
"MFSD6L"	2306	2780	3574	3309
"MFSD7"	4258	3344	6682	4149
"MFSD9"	407	687	658	490
"MGAM"	12389	12356	12717	14873
"MGARP"	2125	2792	2942	2881
"MGAT1"	250	442	557	608
"MGAT2"	1192	1673	2952	1909
"MGAT4A"	380	396	561	541
"MGAT4C"	409	839	995	771
"MGAT4D"	4279	7002	1073	6066
"MGAT5"	3861	5611	4811	6610
"MGAT5B"	3164	2412	3974	3674
"MGC50722"	0	0	21	0
"MGC57346-CRHR1"	0	84	8	0
"MGEA5"	256	215	81	431
"MGME1"	703	559	212	441
"MGRN1"	842	1789	470	1476
"MGST2"	727	304	458	900
"MGST3"	6827	4853	7950	7279
"MIB1"	1182	1093	1051	1855
"MICA"	721	893	942	1072
"MICAL1"	297	181	967	502
"MICAL2"	81	0	4	79
"MICAL3"	1308	1807	675	1423
"MICALCL"	1179	917	827	1028
"MICALL1"	0	0	5	0
"MICALL2"	55	61	145	77
"MICB"	3421	2925	3398	3402
"MICU1"	9225	8930	9952	10534
"MICU2"	509	981	735	891
"MICU3"	812	723	123	1348
"MID1IP1"	1386	2608	4647	2020
"MID2"	84	0	0	0
"MIDN"	107	0	88	0
"MIEF2"	1857	2660	4031	2976
"MIEN1"	1163	502	1581	846
"MIER3"	2497	1926	3963	2806
"MIF"	2896	3487	4983	4342
"MIF4GD"	797	787	1359	1016
"MIIP"	2981	1058	2303	2782
"MILR1"	0	6	7	2
"MINK1"	91	177	119	413
"MINOS1"	464	227	574	657
"MINOS1-NBL1"	1182	1251	2223	1530
"MINPP1"	1753	2008	3930	2702
"MIOS"	51	86	9	49
"MIOX"	401	729	959	1125
"MIP"	1666	763	3282	1443
"MIPEP"	44	0	0	0
"MIPOL1"	6467	4723	4899	7528
"MIR1-1HG"	182	99	266	226
"MIR205HG"	1866	1618	2341	1545
"MISP"	6212	8816	3815	10372
"MITD1"	12174	11070	8219	14007
"MITF"	0	73	12	0
"MIXL1"	409	601	495	469
"MKI67"	7610	3917	9135	6806
"MKL1"	209	295	222	482
"MKL2"	760	580	674	1361
"MKLN1"	12804	10989	14249	16467
"MKRN1"	1462	2942	1248	2839
"MKRN2"	882	1199	1533	764
"MKRN3"	142	244	605	415
"MKS1"	4	0	0	0
"MKX"	25	308	12	0
"MLANA"	1393	1201	1678	1116
"MLF1"	206	324	62	131
"MLF2"	1090	3270	3343	1898
"MLH1"	186	0	113	324
"MLH3"	708	686	729	512
"MLIP"	4	11	0	0
"MLKL"	332	4605	2157	2683
"MLLT1"	1994	1555	1534	1500
"MLLT10"	1453	826	3762	3212
"MLLT4"	42	171	0	73
"MLLT6"	1978	1924	2497	1825
"MLN"	68	0	264	370
"MLPH"	4438	3971	6841	5815
"MLST8"	1	0	0	0
"MLX"	9025	9100	13955	13274
"MLXIP"	4442	3380	3489	5804
"MLXIPL"	72	459	71	109
"MMAA"	1653	1358	1739	2277
"MMAB"	45	0	0	0
"MMADHC"	87	729	47	374
"MMD"	337	631	634	386
"MMD2"	2972	5486	8704	4194
"MME"	1133	703	1447	800
"MMEL1"	183	255	151	456
"MMGT1"	151	65	197	219
"MMP1"	0	190	12	0
"MMP10"	4634	5835	6842	6617
"MMP11"	0	172	101	220
"MMP12"	1500	1497	2152	2117
"MMP13"	441	402	118	319
"MMP14"	0	0	55	178
"MMP15"	382	527	1650	599
"MMP19"	24	0	0	0
"MMP20"	695	953	1117	1287
"MMP21"	45	126	20	127
"MMP23B"	240	554	468	605
"MMP25"	675	110	316	382
"MMP26"	128	310	281	277
"MMP28"	2699	1766	3562	2519
"MMP3"	0	0	43	112
"MMP8"	168	21	95	346
"MMP9"	565	334	1152	549
"MMS19"	959	336	1151	620
"MN1"	2446	2854	918	1599
"MND1"	466	943	472	511
"MNDA"	28	63	7	177
"MNT"	0	43	47	0
"MNX1"	6452	7174	12728	7103
"MOAP1"	1546	3069	2734	3226
"MOB1A"	1239	2210	1636	2008
"MOB1B"	230	221	174	0
"MOB2"	2489	2442	3280	3505
"MOB3A"	920	1327	1585	1540
"MOB3B"	637	729	470	610
"MOB3C"	885	475	1318	1366
"MOBP"	793	680	1270	859
"MOCS1"	183	264	444	335
"MOCS2"	184	181	349	401
"MOG"	233	468	885	227
"MOGAT1"	6	88	81	0
"MOGS"	0	40	8	0
"MOK"	10026	8982	9404	10457
"MON1A"	18	0	82	89
"MORC1"	437	320	225	837
"MORC2"	141	0	0	85
"MORC4"	7929	14764	2050	13271
"MORF4L1"	2781	3394	3844	2667
"MORF4L2"	30	0	126	59
"MORN4"	211	379	54	164
"MOS"	541	342	372	326
"MOSPD2"	604	195	388	77
"MOSPD3"	496	273	511	541
"MOV10"	1839	1171	4673	2848
"MOV10L1"	82	0	18	330
"MOXD1"	6817	5342	3831	5870
"MPC1L"	618	1061	1976	1240
"MPC2"	0	69	91	0
"MPEG1"	5816	5541	3886	5137
"MPG"	59	178	164	125
"MPHOSPH10"	0	24	0	0
"MPHOSPH6"	2	0	0	0
"MPHOSPH8"	421	64	317	338
"MPHOSPH9"	771	430	189	393
"MPI"	1522	1177	3268	1865
"MPLKIP"	532	1537	754	873
"MPND"	49	1498	1106	573
"MPP1"	0	66	87	0
"MPP3"	205	123	181	271
"MPP4"	1970	1857	1311	1219
"MPP6"	92	370	230	94
"MPP7"	1936	2154	2098	2417
"MPPE1"	0	0	9	0
"MPPED1"	1787	1705	2679	1935
"MPPED2"	6025	6934	12231	9399
"MPRIP"	909	1246	1460	1208
"MPST"	4630	4304	4739	5790
"MPV17L"	800	1586	711	2155
"MPV17L2"	713	334	697	591
"MPZ"	1803	1053	1764	1282
"MPZL1"	2206	2061	3807	3261
"MPZL2"	12468	13400	16454	13886
"MPZL3"	1113	3692	2058	2166
"MRAP"	203	0	254	208
"MRAS"	0	302	89	5
"MRC1"	6860	3923	8169	7102
"MRC2"	9527	11513	14403	12466
"MRE11A"	159	124	144	130
"MREG"	333	222	102	198
"MRFAP1"	0	114	33	67
"MRFAP1L1"	272	193	501	884
"MRGPRE"	746	985	1381	849
"MRGPRF"	181	0	95	0
"MRGPRG"	3074	3331	6269	3696
"MRGPRX1"	188	213	82	396
"MRGPRX3"	9837	10160	15346	12357
"MRGPRX4"	6635	4855	4108	6010
"MRI1"	256	1708	979	795
"MRLN"	400	510	145	790
"MRO"	1905	1271	1215	2236
"MROH1"	9480	10825	18670	11703
"MROH2A"	6071	4135	2652	5351
"MROH2B"	702	196	518	280
"MROH5"	2809	2676	4006	4108
"MROH6"	146	350	287	426
"MROH7"	36	211	431	524
"MROH8"	149	0	285	620
"MROH9"	1279	1145	2276	1536
"MRPL1"	50	75	0	0
"MRPL12"	625	271	1055	682
"MRPL14"	55	0	0	0
"MRPL24"	585	652	1130	604
"MRPL30"	79	224	109	425
"MRPL34"	0	0	60	0
"MRPL35"	0	0	41	134
"MRPL36"	4584	4643	5369	5274
"MRPL41"	25	55	0	0
"MRPL43"	328	570	2022	1041
"MRPL45"	0	77	68	223
"MRPL46"	23	0	0	0
"MRPL47"	24698	9311	8578	10801
"MRPL54"	0	61	18	62
"MRPL55"	233	519	280	853
"MRPL9"	15095	17374	13243	19226
"MRPS11"	19	0	0	0
"MRPS14"	99	0	200	9
"MRPS15"	3196	3451	4945	3769
"MRPS21"	1710	1872	1445	2513
"MRPS24"	155	208	658	203
"MRPS26"	34	0	21	0
"MRPS28"	386	398	198	422
"MRPS33"	42	0	40	0
"MRPS35"	620	1006	134	1100
"MRPS36"	100	142	95	366
"MRPS7"	1097	653	1246	1401
"MRRF"	170	162	2	289
"MRS2"	5827	4752	4271	6313
"MRVI1"	5403	5578	10726	8491
"MS4A10"	7112	5821	5188	6721
"MS4A14"	765	458	416	417
"MS4A15"	1364	1545	1902	1605
"MS4A5"	112	239	157	152
"MS4A6E"	2802	2107	1353	2664
"MS4A7"	615	1104	1132	907
"MSANTD1"	1071	1168	2219	2243
"MSANTD2"	0	0	30	0
"MSANTD3"	1004	4486	3200	3433
"MSANTD3-TMEFF1"	1485	1311	974	1161
"MSANTD4"	1556	975	1067	1546
"MSC"	5207	4774	10511	6159
"MSGN1"	6085	5268	13800	7910
"MSH3"	909	558	455	336
"MSH4"	1314	891	1744	1348
"MSH5"	83	60	246	395
"MSH6"	0	177	79	105
"MSI2"	48	1	42	74
"MSL3"	1804	1479	1489	1821
"MSLN"	3379	4780	9225	5326
"MSMB"	107	0	37	159
"MSMO1"	280	130	137	398
"MSR1"	12724	11995	3714	12299
"MSRA"	4746	5087	5590	5266
"MSRB2"	412	1839	2375	1560
"MSRB3"	4442	4703	5099	3561
"MSS51"	274	288	627	365
"MST1"	805	320	1455	706
"MST1L"	0	0	14	0
"MSTO1"	45	62	13	0
"MSX1"	1192	646	1703	1276
"MSX2"	2258	2407	2931	3366
"MT1A"	146	55	287	62
"MT1E"	0	0	0	60
"MT1F"	856	556	1449	1328
"MT1G"	12443	10261	28855	12115
"MT1H"	1743	2519	1845	1605
"MT1HL1"	1169	1483	1651	1385
"MT1M"	0	0	1	0
"MT1X"	2901	2499	3716	3600
"MT2A"	584	405	725	982
"MT3"	537	922	579	438
"MT4"	17426	18345	28401	23901
"MTA1"	541	689	451	679
"MTA2"	955	887	829	1132
"MTA3"	529	232	330	438
"MTAP"	77	0	0	0
"MTCH1"	1793	1881	2267	1431
"MTCH2"	65	181	4	145
"MTCL1"	1161	2043	1424	1607
"MTCP1"	40	256	156	86
"MTDH"	1706	3676	3753	7077
"MTERF1"	129	0	224	110
"MTERF2"	994	1244	217	865
"MTERF3"	112	26	106	165
"MTF1"	18	0	0	0
"MTF2"	4269	4608	4878	4373
"MTFR1"	27	0	0	0
"MTFR1L"	94	499	228	327
"MTFR2"	142	74	48	146
"MTHFD1"	214	525	206	898
"MTHFD1L"	0	0	117	58
"MTHFD2"	1397	1574	1124	1206
"MTHFR"	1493	1267	1806	1928
"MTHFS"	156	323	182	318
"MTHFSD"	51	75	68	313
"MTIF3"	47	0	0	0
"MTL5"	262	944	825	465
"MTM1"	3447	1963	4874	3103
"MTMR1"	4913	5251	5698	6337
"MTMR10"	497	1021	403	861
"MTMR11"	56	0	118	254
"MTMR12"	1862	914	1654	1525
"MTMR14"	143	1735	1640	731
"MTMR2"	3068	4136	2952	5346
"MTMR3"	0	0	29	0
"MTMR6"	331	271	265	474
"MTMR7"	1330	2029	1045	1434
"MTMR8"	3638	3730	3531	4681
"MTMR9"	6578	2485	3140	2721
"MTNR1A"	576	475	957	781
"MTNR1B"	245	145	457	110
"MTO1"	1	6	23	0
"MTPAP"	2016	1665	2728	2187
"MTPN"	811	713	709	141
"MTR"	3336	4579	6801	6442
"MTRNR2L10"	2150	1496	2305	2215
"MTRNR2L2"	0	93	28	26
"MTRNR2L3"	364	0	70	76
"MTRNR2L4"	0	151	84	309
"MTRNR2L5"	129	530	138	227
"MTRNR2L6"	0	1	1	0
"MTRNR2L8"	1808	1427	2495	1584
"MTRNR2L9"	3747	2495	6351	3492
"MTSS1"	1433	970	2227	1824
"MTSS1L"	1857	2647	4147	2542
"MTTP"	141	0	86	80
"MTURN"	436	8750	5904	3169
"MTUS1"	882	847	615	935
"MTX1"	511	1226	1317	1286
"MTX2"	122	300	85	117
"MUC1"	0	73	29	0
"MUC12"	360	68	79	377
"MUC13"	121	56	83	54
"MUC15"	782	666	1325	848
"MUC17"	0	294	107	257
"MUC20"	194	403	546	283
"MUC3A"	724136	177286	374471	521905
"MUC4"	706	1882	1706	1229
"MUC5AC"	7923	4154	1943	4103
"MUC5B"	3337	1618	1362	2167
"MUC6"	638	462	650	325
"MUC7"	20	0	8	0
"MUCL1"	33	403	75	106
"MUL1"	134	223	396	282
"MUM1L1"	244	363	352	448
"MURC"	0	0	23	0
"MUS81"	327	119	111	196
"MUSK"	891	1018	1262	1737
"MUSTN1"	33	0	0	0
"MUT"	0	0	0	3
"MUTYH"	112	89	26	0
"MVB12A"	4582	4376	8666	5337
"MVB12B"	500	643	1036	1002
"MVD"	0	0	122	62
"MVK"	0	0	5	0
"MVP"	0	0	0	1
"MX2"	23392	27792	12702	24788
"MXD1"	101	75	39	85
"MXD4"	11625	9831	14913	11935
"MXI1"	2101	1550	813	1757
"MXRA5"	10499	6554	2946	9524
"MXRA8"	5596	3863	7743	5504
"MYADM"	24	2040	100	743
"MYADML2"	2016	2343	3123	1608
"MYBL2"	30	176	0	0
"MYBPC1"	1778	1470	1034	1178
"MYBPC2"	9972	5949	11352	9535
"MYBPH"	135	1945	1092	234
"MYBPHL"	792	762	974	1073
"MYCBP2"	35	69	79	37
"MYCBPAP"	164	0	329	693
"MYCN"	1097	3798	2248	1356
"MYCT1"	219	632	309	376
"MYDGF"	1	248	51	142
"MYEOV"	32	310	199	128
"MYF5"	2314	1275	4299	2864
"MYF6"	1922	1598	2080	1969
"MYH10"	50	0	397	509
"MYH11"	1051	1944	2472	2483
"MYH14"	697	360	722	369
"MYH15"	4767	5136	5405	9226
"MYH2"	14	0	0	0
"MYH3"	2100	3002	5066	3434
"MYH4"	551	582	595	299
"MYH6"	1113	852	499	1181
"MYH8"	524	1268	607	1169
"MYH9"	4605	6113	7524	5565
"MYL1"	1775	2606	3049	2434
"MYL10"	0	0	0	59
"MYL12A"	3310	3449	4055	3806
"MYL12B"	0	1	1	1
"MYL3"	1751	847	2940	2387
"MYL4"	1132	1405	3703	1219
"MYL5"	4031	2346	3493	4644
"MYL6B"	2466	1892	1473	2863
"MYL7"	236	1695	606	908
"MYL9"	30	214	183	93
"MYLIP"	996	509	842	1033
"MYLK"	11517	7734	13003	9047
"MYLK2"	340	337	563	305
"MYLK4"	2769	1782	1768	2952
"MYLPF"	579	660	1138	457
"MYNN"	90	862	294	573
"MYO10"	853	333	1271	569
"MYO15A"	7	0	0	7
"MYO16"	9917	8316	7652	9753
"MYO18A"	401	974	588	410
"MYO18B"	355	527	319	519
"MYO1A"	1788	2126	3072	3189
"MYO1D"	1690	1550	1373	1871
"MYO1E"	211	114	121	156
"MYO1G"	7025	8381	15674	8448
"MYO3A"	318	0	22	70
"MYO3B"	0	0	34	151
"MYO5A"	695	651	847	1330
"MYO5C"	8184	7518	7364	7653
"MYO6"	254	129	125	238
"MYO7B"	7495	7296	10018	8699
"MYO9B"	1809	1431	3985	1612
"MYOCD"	1261	1197	273	1285
"MYOD1"	322	182	294	385
"MYOF"	274	125	583	381
"MYOM1"	2629	2825	5138	2403
"MYOM2"	469	426	105	835
"MYOM3"	751	518	710	623
"MYOT"	274	266	223	104
"MYOZ1"	46	135	0	0
"MYOZ2"	916	1204	1300	1509
"MYOZ3"	111	101	124	1
"MYPN"	1259	819	666	1078
"MYPOP"	1818	3722	2571	3139
"MYRIP"	2949	5211	4244	3759
"MYSM1"	98	34	72	88
"MYT1"	38	230	0	0
"MYZAP"	4	0	0	0
"MZB1"	223	61	151	0
"MZF1"	7917	5582	12754	8753
"MZT2A"	158	151	551	290
"MZT2B"	1492	1250	1088	1273
"N4BP1"	39	0	0	0
"N4BP2L1"	2034	1839	1901	1995
"N4BP3"	84	255	337	106
"N6AMT1"	1260	2041	3851	2516
"NAA16"	765	327	92	403
"NAA25"	1307	1649	1784	1459
"NAA30"	772	2309	4614	2994
"NAA38"	38	0	0	0
"NAAA"	1171	686	685	542
"NAALAD2"	0	108	6	56
"NAALADL1"	1629	1718	1250	1875
"NAB2"	3311	5627	4818	4986
"NABP1"	718	391	499	855
"NABP2"	406	265	572	538
"NACC1"	2423	1968	5313	2791
"NACC2"	205	69	276	473
"NADK"	0	436	62	263
"NADSYN1"	570	1229	1528	1770
"NAE1"	135	504	23	253
"NAGA"	351	214	714	342
"NAGK"	46	0	72	163
"NAGLU"	9079	4034	6673	6601
"NAGPA"	14006	12551	28908	17328
"NAGS"	0	53	0	0
"NAIF1"	462	260	516	612
"NALCN"	1042	1156	801	1008
"NAMPT"	202	85	275	238
"NANOG"	224	1470	1497	243
"NANOGNB"	64	68	281	259
"NANOS1"	2546	2337	3089	2266
"NANOS2"	97	1	250	110
"NANOS3"	2075	987	2542	2014
"NANS"	336	484	664	309
"NAP1L1"	649	500	707	921
"NAP1L2"	9	0	0	0
"NAP1L3"	160	105	27	61
"NAP1L4"	36	0	7	0
"NAP1L5"	2617	4086	4998	4125
"NAPB"	1368	1197	858	1452
"NAPEPLD"	902	649	1122	898
"NAPRT"	53	349	599	576
"NAPSA"	9402	8815	13993	10774
"NARR"	943	96	667	453
"NARS2"	0	885	118	235
"NASP"	3593	5285	2367	6304
"NAT1"	30341	30210	15341	27645
"NAT10"	5245	4453	4370	4631
"NAT14"	524	327	147	502
"NAT16"	443	418	1297	452
"NAT2"	0	0	0	148
"NAT6"	1589	2037	2525	3065
"NAT8"	266	679	456	198
"NAT8L"	125	497	626	372
"NATD1"	2315	2607	3493	2635
"NAV1"	4040	5629	4014	5266
"NAV2"	5586	6892	8471	9575
"NAV3"	3679	4807	6980	6247
"NBAS"	0	140	0	0
"NBEA"	7518	6457	5773	8802
"NBEAL1"	1451	1243	582	1277
"NBL1"	5914	6564	11068	8370
"NBPF10"	726	456	704	1078
"NBPF12"	3206	3598	3222	4600
"NBPF14"	2658	3119	2233	2446
"NBPF15"	51	0	0	0
"NBPF20"	28	0	159	183
"NBPF8"	94	111	141	33
"NBR1"	3777	4616	4460	5446
"NCALD"	121	195	246	325
"NCAM1"	208	243	83	283
"NCAM2"	26	68	129	182
"NCAN"	603	1262	595	952
"NCAPG"	0	229	35	0
"NCAPG2"	0	0	7	0
"NCBP2"	218	47	69	29
"NCCRP1"	6349	12280	10175	13504
"NCDN"	2508	1682	1813	3023
"NCEH1"	4108	1781	4248	4161
"NCF2"	3840	3378	3210	4253
"NCK2"	3953	3516	3400	4126
"NCKAP1"	203	50	300	0
"NCKAP5"	1023	1136	2083	1737
"NCKAP5L"	1918	2237	588	1961
"NCKIPSD"	659	240	502	271
"NCOA1"	40	0	17	137
"NCOA2"	1352	691	1311	1334
"NCOA3"	233	168	590	122
"NCOA4"	0	0	100	132
"NCOA5"	1604	1239	2192	1256
"NCOA6"	4084	3774	3708	5094
"NCOA7"	3570	2486	4110	2854
"NCOR1"	2991	2319	1376	2783
"NCOR2"	21	0	19	66
"NCR2"	184	58	256	345
"NCR3"	834	1819	2888	2137
"NCS1"	3197	4055	7878	5958
"NCSTN"	1338	2798	310	1832
"NDC1"	4311	5408	4586	5610
"NDEL1"	4314	3996	2508	4090
"NDFIP1"	1551	1416	538	1373
"NDFIP2"	308	1214	531	471
"NDN"	405	225	1162	384
"NDNF"	2051	1943	2859	2683
"NDP"	8722	14305	14839	13565
"NDRG1"	12986	9612	7780	13337
"NDRG4"	272	66	27	48
"NDST1"	12208	4602	10886	7277
"NDST2"	5372	4207	5959	6143
"NDST3"	753	2750	1723	1701
"NDST4"	766	365	636	504
"NDUFA10"	0	398	167	424
"NDUFA12"	2456	2953	1804	2773
"NDUFA13"	1115	96	1200	660
"NDUFA2"	151	342	54	166
"NDUFA4"	375	458	618	547
"NDUFA5"	56	158	34	119
"NDUFA6"	1622	970	1773	1676
"NDUFA7"	4070	2254	4104	3828
"NDUFA8"	0	296	32	0
"NDUFAF1"	0	0	0	26
"NDUFAF3"	54	204	143	68
"NDUFAF5"	24	114	141	0
"NDUFAF6"	29	41	6	273
"NDUFB1"	912	1761	502	1225
"NDUFB10"	0	151	74	78
"NDUFB11"	438	442	63	146
"NDUFB2"	0	54	80	0
