transE_high_s47	transE_low_s45	transE_medium_s46	transE_pre_s48
678	1951	1544	1311
0	0	0	0
0	0	0	0
300	142	273	224
29	0	10	0
0	0	0	0
0	0	0	0
0	0	0	0
82	61	7	107
455	515	940	732
123	432	108	355
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
15	56	134	191
0	0	0	0
0	0	0	0
0	0	0	0
1198	767	608	1347
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
248	740	488	430
0	0	0	0
0	0	0	0
798	605	756	1134
0	0	0	0
1921	1620	3053	1403
0	0	0	0
313	376	356	110
0	0	0	0
0	0	0	0
201	192	365	620
0	0	0	0
446	43	262	116
0	0	0	0
269	0	135	130
946	204	560	855
0	0	0	0
0	0	0	0
757	525	1315	823
0	0	0	0
0	0	0	0
82	26	38	62
187	140	190	511
0	0	0	0
0	0	0	0
0	0	0	0
625	773	105	663
0	0	0	0
229	540	139	277
0	0	0	0
0	0	0	0
2238	1977	5176	3614
0	0	0	0
0	0	0	0
0	0	0	0
56	244	99	210
0	0	0	0
0	0	0	0
0	0	0	0
192	0	264	129
2997	2306	6740	3005
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
253	388	400	461
4891	3767	9879	6067
78	365	377	367
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1397	1068	1250	956
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	96	157	0
0	0	0	0
0	0	0	0
121	485	913	875
0	0	67	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
86	0	47	127
0	0	0	0
0	0	0	0
0	0	0	94
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
27	0	49	71
0	0	0	0
0	0	0	0
0	0	0	0
293	255	550	206
0	0	0	0
0	0	0	0
978	453	923	620
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
135	1053	209	707
0	0	0	0
184	428	296	193
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
118	685	182	654
486	1208	1196	910
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
312	231	275	419
0	0	0	0
0	0	0	0
134	80	86	68
0	0	0	0
0	0	0	0
211	263	10	30
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
708	1028	2499	2120
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3464	3944	1701	3802
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
321	1200	212	693
0	0	0	0
1708	1650	1044	1290
45924	44335	33081	57109
0	0	0	0
31	65	12	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	8	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
417	428	399	483
9176	8144	14725	12171
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
175	0	127	33
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
260	154	156	85
